Ном.,Имя,Рейт,Результат,Имя,Рейт,Ном.
1,Исхаков Ильшат  ,2063,1 - 0,Насыров Данил ,1380,3
31,Сидоров  Андрей ,1000,0 - 1,Ишкинин Филюс  ,1225,6
30,Сафеев Булат ,1000,½ - ½,Багаев Карим ,1000,24
8,Ибрагимов Камиль ,1216,0 - 1,Скрынников Геннадий  ,1483,2
29,Рябиков Эдуард ,1000,1 - 0,Фоменко Матвей ,1279,5
7,Корсаков Вадим ,1217,0 - 1,Ибрагимов Рафаэль ,1178,10
21,Мкртумян Давид ,1020,0 - 1,Рахимов Загир ,1000,28
27,Каранаев Рафис ,1000,0 - 1,Корсаков Тимур ,1305,4
9,Стрелкова Екатерина  ,1189,0 - 1,Ишкинина Юлия  ,1125,15
13,Алферов Роман ,1139,1 - 0,Стрелкова Анастасия  ,1153,12
11,Рахимкулов Ильнур ,1154,1 - 0,Шаяхметов Арслан ,1081,18
32,Тулумгужин Зуфар ,1000,1 - 0,Заварихин Михаил ,1025,20
19,Герунов Иван ,1038,1 - 0,Ермаков Станислав ,1000,26
16,Сагитов Ильназ ,1091,0 - 1,Герунова Анна ,1000,25
17,Ишкинина Самира  ,1088,+ - -,Мкртумян Арсен ,1133,14
23,Мкртумян Эдуард ,1004,+ - -,Мкртумян Марк ,1018,22
