Ном.,Имя,Рейт,Результат,Имя,Рейт,Ном.
30,Сафеев Булат ,1000,0 - 1,Исхаков Ильшат  ,2063,1
3,Насыров Данил ,1380,0 - 1,Ишкинин Филюс  ,1225,6
2,Скрынников Геннадий  ,1483,1 - 0,Рахимов Загир ,1000,28
10,Ибрагимов Рафаэль ,1178,0 - 1,Рябиков Эдуард ,1000,29
24,Багаев Карим ,1000,0 - 1,Сидоров  Андрей ,1000,31
15,Ишкинина Юлия  ,1125,1 - 0,Алферов Роман ,1139,13
4,Корсаков Тимур ,1305,1 - 0,Корсаков Вадим ,1217,7
5,Фоменко Матвей ,1279,0 - 1,Герунов Иван ,1038,19
32,Тулумгужин Зуфар ,1000,1 - 0,Рахимкулов Ильнур ,1154,11
9,Стрелкова Екатерина  ,1189,1 - 0,Ибрагимов Камиль ,1216,8
27,Каранаев Рафис ,1000,1 - 0,Мкртумян Давид ,1020,21
12,Стрелкова Анастасия  ,1153,1 - 0,Заварихин Михаил ,1025,20
17,Ишкинина Самира  ,1088,1 - 0,Мкртумян Эдуард ,1004,23
25,Герунова Анна ,1000,1 - 0,Шаяхметов Арслан ,1081,18
14,Мкртумян Арсен ,1133,- - +,Сагитов Ильназ ,1091,16
26,Ермаков Станислав ,1000,+ - -,Мкртумян Марк ,1018,22
