Ном.,Имя,Рейт,Результат,Имя,Рейт,Ном.
6,Ишкинин Филюс  ,1225,0 - 1,Исхаков Ильшат  ,2063,1
2,Скрынников Геннадий  ,1483,1 - 0,Фоменко Матвей ,1279,5
31,Сидоров  Андрей ,1000,0 - 1,Насыров Данил ,1380,3
24,Багаев Карим ,1000,1 - 0,Рябиков Эдуард ,1000,29
30,Сафеев Булат ,1000,1 - 0,Корсаков Вадим ,1217,7
4,Корсаков Тимур ,1305,1 - 0,Ишкинина Самира  ,1088,17
8,Ибрагимов Камиль ,1216,1 - 0,Мкртумян Давид ,1020,21
9,Стрелкова Екатерина  ,1189,1 - 0,Мкртумян Эдуард ,1004,23
10,Ибрагимов Рафаэль ,1178,1 - 0,Тулумгужин Зуфар ,1000,32
12,Стрелкова Анастасия  ,1153,1 - 0,Рахимкулов Ильнур ,1154,11
28,Рахимов Загир ,1000,1 - 0,Алферов Роман ,1139,13
26,Ермаков Станислав ,1000,0 - 1,Ишкинина Юлия  ,1125,15
16,Сагитов Ильназ ,1091,0 - 1,Каранаев Рафис ,1000,27
14,Мкртумян Арсен ,1133,0 - 1,Заварихин Михаил ,1025,20
22,Мкртумян Марк ,1018,0 - 1,Шаяхметов Арслан ,1081,18
25,Герунова Анна ,1000,0 - 1,Герунов Иван ,1038,19
